Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
7 1 -7.1327505 0.0 -44.8936 6.89108 -20.8733 336.34 -2722.76 335.616 -2713.82 0.0 335.616 -2713.82 -6.60599 -44.8936 -2429.7036 -1.86921 -1.86921
7 2 -6.9614363 0.0 -42.1577 6.91733 -20.8484 336.34 -2722.76 335.335 -2714.75 0.0 335.335 -2714.75 -6.60126 -42.1577 -2428.174 -0.959436 -0.959436
7 3 -6.7767034 0.0 -38.2647 6.87827 -20.0264 336.34 -2722.76 335.149 -2716.7 0.0 335.149 -2716.7 -7.43167 -38.2647 -2427.2473 -0.94455 -0.94455
7 4 -6.116729 0.0 -26.2208 6.82884 -20.7587 336.34 -2722.76 335.012 -2725.13 0.0 335.012 -2725.13 -5.46517 -26.2208 -2421.804 4.89458 4.89458
7 5 -6.846345 0.0 -38.9787 6.75292 -21.8055 336.34 -2722.76 335.429 -2719.14 0.0 335.429 -2719.14 1.99842 -38.9787 -2420.6912 5.24696 5.24696
7 6 -6.847149 0.0 -38.9652 6.75746 -21.854 336.34 -2722.76 335.419 -2719.2 0.0 335.419 -2719.2 2.19451 -38.9652 -2420.5518 5.30018 5.30018
7 7 -6.7452745 0.0 -37.7215 6.76335 -21.7798 336.34 -2722.76 335.332 -2719.24 0.0 335.332 -2719.24 2.71456 -37.7215 -2418.9148 6.10611 6.10611
8 0 -6.7686296 0.0 -34.0453 6.80233 -19.8438 336.34 -2722.76 334.997 -2722.79 0.0 334.997 -2722.79 -7.63847 -34.0453 -2429.4768 -0.297712 -0.297712
8 1 -6.6177793 0.0 -33.3409 6.83362 -21.1688 336.34 -2722.76 335.87 -2724.04 0.0 335.87 -2724.04 -3.09656 -33.3409 -2424.6074 3.29559 3.29559
8 2 -6.5876503 0.0 -36.2705 6.87525 -20.7689 336.34 -2722.76 334.767 -2716.85 0.0 334.767 -2716.85 -5.36871 -36.2705 -2423.7222 1.15126 1.15126
8 3 -6.358365 0.0 -28.982 6.80516 -20.8418 336.34 -2722.76 335.575 -2725.8 0.0 335.575 -2725.8 -4.05422 -28.982 -2423.2612 3.47315 3.47315
8 4 -6.237041 0.0 -30.4183 6.85528 -20.5751 336.34 -2722.76 334.596 -2719.74 0.0 334.596 -2719.74 -5.76289 -30.4183 -2421.3252 5.02602 5.02602
8 5 -6.134953 0.0 -27.9884 6.73865 -19.4496 336.34 -2722.76 335.817 -2722.77 0.0 335.817 -2722.77 -0.99702 -27.9884 -2415.9385 13.6159 13.6159
9 0 -6.62588 0.0 -32.8881 7.28675 -19.4601 336.34 -2722.76 335.124 -2721.31 0.0 335.124 -2721.31 -9.39273 -32.8881 -2428.4668 -2.86546 -2.86546
9 1 -6.7007604 0.0 -34.4972 7.29701 -19.4782 336.34 -2722.76 335.112 -2720.03 0.0 335.112 -2720.03 -9.01355 -34.4972 -2428.4287 -2.67613 -2.67613
9 2 -6.6864824 0.0 -34.2837 7.28568 -19.4499 336.34 -2722.76 335.121 -2720.13 0.0 335.121 -2720.13 -9.02475 -34.2837 -2428.3171 -2.69056 -2.69056
