Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
8 5 -6.5374117 0.0 -29.3938 8.5396 -12.6676 232.458 -1699.15 232.428 -1694.76 0.0 232.428 -1694.76 8.87111 -29.3938 -1482.8547 13.7996 13.7996
8 6 -5.416226 0.0 -17.0005 8.83607 -12.0604 232.458 -1699.15 232.33 -1694.38 0.0 232.33 -1694.38 9.61394 -17.0005 -1469.4366 20.7968 20.7968
9 0 -7.1113567 0.0 -40.7279 8.11346 -11.7983 232.458 -1699.15 229.764 -1682.29 0.0 229.764 -1682.29 1.42592 -40.7279 -1491.828 3.02712 3.02712
9 1 -7.1113567 0.0 -40.7279 8.11346 -11.7983 232.458 -1699.15 229.764 -1682.29 0.0 229.764 -1682.29 1.42592 -40.7279 -1491.828 3.02712 3.02712
9 2 -7.1113567 0.0 -40.7279 8.11346 -11.7983 232.458 -1699.15 229.764 -1682.29 0.0 229.764 -1682.29 1.42592 -40.7279 -1491.828 3.02712 3.02712
9 3 -7.1113567 0.0 -40.7279 8.11346 -11.7983 232.458 -1699.15 229.764 -1682.29 0.0 229.764 -1682.29 1.42592 -40.7279 -1491.828 3.02712 3.02712
9 4 -7.1543303 0.0 -41.2908 8.10811 -11.7423 232.458 -1699.15 229.593 -1681.81 0.0 229.593 -1681.81 2.06484 -41.2908 -1491.443 2.8205 2.8205
9 5 -7.1543303 0.0 -41.2908 8.10811 -11.7423 232.458 -1699.15 229.593 -1681.81 0.0 229.593 -1681.81 2.06484 -41.2908 -1491.443 2.8205 2.8205
9 6 -7.1454053 0.0 -41.0675 8.13429 -11.7365 232.458 -1699.15 229.578 -1681.94 0.0 229.578 -1681.94 2.03495 -41.0675 -1491.3945 2.75244 2.75244
9 7 -7.1454053 0.0 -41.0675 8.13429 -11.7365 232.458 -1699.15 229.578 -1681.94 0.0 229.578 -1681.94 2.03495 -41.0675 -1491.3945 2.75244 2.75244
10 0 -6.978525 0.0 -35.3088 8.68733 -12.5229 232.458 -1699.15 230.952 -1690.17 0.0 230.952 -1690.17 2.85811 -35.3088 -1491.6687 0.854295 0.854295
10 1 -7.069195 0.0 -39.1228 8.68673 -13.278 232.458 -1699.15 230.763 -1686.22 0.0 230.763 -1686.22 3.679 -39.1228 -1490.9009 1.49737 1.49737
10 2 -6.806261 0.0 -35.3114 8.31519 -12.4476 232.458 -1699.15 230.893 -1687.76 0.0 230.893 -1687.76 6.30967 -35.3114 -1485.8687 5.98954 5.98954
10 3 -6.1715655 0.0 -26.3414 8.6389 -11.6612 232.458 -1699.15 230.985 -1690.11 0.0 230.985 -1690.11 5.62616 -26.3414 -1479.8402 11.3598 11.3598
10 4 -6.2830944 0.0 -28.8074 8.51013 -12.2733 232.458 -1699.15 230.861 -1688.74 0.0 230.861 -1688.74 7.28944 -28.8074 -1479.397 11.5096 11.5096
10 5 -6.2491155 0.0 -27.362 8.54166 -11.9864 232.458 -1699.15 231.027 -1690.34 0.0 231.027 -1690.34 7.69509 -27.362 -1478.9799 12.3887 12.3887
10 6 -6.0903344 0.0 -25.8131 8.65042 -11.4305 232.458 -1699.15 230.978 -1689.34 0.0 230.978 -1689.34 5.35477 -25.8131 -1478.8203 10.4313 10.4313
11 0 -7.072417 0.0 -40.5601 8.37423 -10.9696 232.458 -1699.15 230.009 -1681.06 0.0 230.009 -1681.06 -0.0495008 -40.5601 -1491.6606 -3.23043 -3.23043
11 1 -6.965098 0.0 -37.8943 8.45276 -11.9529 232.458 -1699.15 230.249 -1684.66 0.0 230.249 -1684.66 2.4657 -37.8943 -1489.8396 -0.06938272 -0.06938272
11 2 -7.0421925 0.0 -41.349 8.34107 -11.8852 232.458 -1699.15 230.466 -1681.02 0.0 230.466 -1681.02 2.58411 -41.349 -1489.3188 -0.651496 -0.651496
11 3 -6.678725 0.0 -36.8486 8.34566 -11.5096 232.458 -1699.15 230.327 -1681.44 0.0 230.327 -1681.44 0.233141 -36.8486 -1487.7284 -1.41474 -1.41474
11 4 -6.7497835 0.0 -34.8805 8.4798 -12.1908 232.458 -1699.15 230.523 -1686.42 0.0 230.523 -1686.42 3.05377 -34.8805 -1487.7239 2.97341 2.97341
11 5 -6.6663237 0.0 -36.6073 8.34369 -11.4965 232.458 -1699.15 230.301 -1681.56 0.0 230.301 -1681.56 0.34992 -36.6073 -1487.5164 -1.43295 -1.43295
11 6 -6.535402 0.0 -33.7252 8.10123 -12.2537 232.458 -1699.15 230.393 -1685.15 0.0 230.393 -1685.15 4.93256 -33.7252 -1483.5496 4.81248 4.81248
12 0 -6.755494 0.0 -32.7671 8.6876 -11.4247 232.458 -1699.15 232.035 -1691.03 0.0 232.035 -1691.03 0.108246 -32.7671 -1491.6538 2.92359 2.92359
12 1 -6.760283 0.0 -32.86 8.66752 -11.4124 232.458 -1699.15 231.994 -1690.92 0.0 231.994 -1690.92 0.154884 -32.86 -1491.6311 3.01157 3.01157
12 2 -7.041604 0.0 -36.9997 8.44908 -11.4627 232.458 -1699.15 232.262 -1689.92 0.0 232.262 -1689.92 3.87653 -36.9997 -1490.7812 3.94517 3.94517
12 3 -7.133858 0.0 -40.4413 8.23348 -12.7105 232.458 -1699.15 231.81 -1686.99 0.0 231.81 -1686.99 7.33312 -40.4413 -1488.2881 5.80049 5.80049
12 4 -7.153197 0.0 -40.6414 8.24711 -12.7379 232.458 -1699.15 231.821 -1687.02 0.0 231.821 -1687.02 7.57131 -40.6414 -1488.269 5.91952 5.91952
12 5 -7.121154 0.0 -40.3989 8.22338 -12.6439 232.458 -1699.15 231.812 -1686.8 0.0 231.812 -1686.8 7.27333 -40.3989 -1488.1136 5.88808 5.88808
13 0 -7.491242 0.0 -46.7965 8.10377 -11.4305 232.458 -1699.15 229.121 -1677.77 0.0 229.121 -1677.77 3.92042 -46.7965 -1491.5251 -9.4359 -9.4359
13 1 -7.103936 0.0 -43.0766 8.29543 -12.732 232.458 -1699.15 229.563 -1678.88 0.0 229.563 -1678.88 4.57169 -43.0766 -1487.8219 -5.94137 -5.94137
13 2 -6.7668138 0.0 -40.1389 8.52239 -11.8818 232.458 -1699.15 229.381 -1676.43 0.0 229.381 -1676.43 3.67109 -40.1389 -1483.5168 -4.31225 -4.31225
13 3 -6.9254937 0.0 -42.9677 7.8805 -11.0733 232.458 -1699.15 229.469 -1674.97 0.0 229.469 -1674.97 5.15332 -42.9677 -1483.3153 -3.98237 -3.98237
13 4 -7.1171956 0.0 -43.6128 8.09068 -11.4067 232.458 -1699.15 229.376 -1676.97 0.0 229.376 -1676.97 11.3132 -43.6128 -1479.8936 2.8215 2.8215
13 5 -6.893143 0.0 -41.9085 7.99947 -10.6386 232.458 -1699.15 229.139 -1674.95 0.0 229.139 -1674.95 9.56219 -41.9085 -1478.1572 3.21148 3.21148
13 6 -6.9236245 0.0 -40.6847 8.39087 -11.2862 232.458 -1699.15 229.144 -1677.39 0.0 229.144 -1677.39 12.0879 -40.6847 -1476.8428 6.48655 6.48655
13 7 -6.3246884 0.0 -35.002 8.47022 -11.6016 232.458 -1699.15 229.629 -1677.33 0.0 229.629 -1677.33 10.6871 -35.002 -1472.0159 6.06511 6.06511
14 0 -7.2684712 0.0 -43.872 7.81984 -10.0263 232.458 -1699.15 229.771 -1678.69 0.0 229.771 -1678.69 1.36933 -43.872 -1491.4216 -6.58261 -6.58261
14 1 -7.271392 0.0 -43.8626 7.81581 -9.97401 232.458 -1699.15 229.767 -1678.7 0.0 229.767 -1678.7 1.47625 -43.8626 -1491.3193 -6.53166 -6.53166
14 2 -7.212202 0.0 -42.0976 8.44567 -11.0225 232.458 -1699.15 229.789 -1680.57 0.0 229.789 -1680.57 6.66036 -42.0976 -1486.2183 -0.162472 -0.162472
14 3 -7.394246 0.0 -45.5525 8.3155 -11.9073 232.458 -1699.15 229.666 -1679.1 0.0 229.666 -1679.1 10.8468 -45.5525 -1484.1396 5.75647 5.75647
14 4 -7.1396666 0.0 -43.8431 8.17986 -12.3208 232.458 -1699.15 230.057 -1678.81 0.0 230.057 -1678.81 14.0659 -43.8431 -1478.5303 7.98991 7.98991
14 5 -6.898422 0.0 -37.3739 8.3187 -11.4467 232.458 -1699.15 229.844 -1683.45 0.0 229.844 -1683.45 17.9083 -37.3739 -1473.0715 14.1357 14.1357
14 6 -6.886206 0.0 -37.221 8.3232 -11.4069 232.458 -1699.15 229.844 -1683.44 0.0 229.844 -1683.44 17.8492 -37.221 -1472.9678 14.196 14.196
15 0 -6.4931293 0.0 -27.8118 8.60075 -11.5472 232.458 -1699.15 233.064 -1696.25 0.0 233.064 -1696.25 -0.305137 -27.8118 -1491.303 8.92349 8.92349
15 1 -6.4931293 0.0 -27.8118 8.60075 -11.5472 232.458 -1699.15 233.064 -1696.25 0.0 233.064 -1696.25 -0.305137 -27.8118 -1491.303 8.92349 8.92349
15 2 -6.4931293 0.0 -27.8118 8.60075 -11.5472 232.458 -1699.15 233.064 -1696.25 0.0 233.064 -1696.25 -0.305137 -27.8118 -1491.303 8.92349 8.92349
15 3 -6.4816895 0.0 -27.7014 8.59725 -11.5535 232.458 -1699.15 233.054 -1696.23 0.0 233.054 -1696.23 -0.35749 -27.7014 -1491.2349 8.93575 8.93575
15 4 -6.4809537 0.0 -27.7278 8.58703 -11.558 232.458 -1699.15 233.088 -1696.25 0.0 233.088 -1696.25 -0.339663 -27.7278 -1491.2295 8.86754 8.86754
15 5 -6.4809537 0.0 -27.7278 8.58703 -11.558 232.458 -1699.15 233.088 -1696.25 0.0 233.088 -1696.25 -0.339663 -27.7278 -1491.2295 8.86754 8.86754
15 6 -6.4809537 0.0 -27.7278 8.58703 -11.558 232.458 -1699.15 233.088 -1696.25 0.0 233.088 -1696.25 -0.339663 -27.7278 -1491.2295 8.86754 8.86754
15 7 -6.4809537 0.0 -27.7278 8.58703 -11.558 232.458 -1699.15 233.088 -1696.25 0.0 233.088 -1696.25 -0.339663 -27.7278 -1491.2295 8.86754 8.86754
16 0 -6.8984017 0.0 -38.8989 8.452 -11.7579 232.458 -1699.15 230.609 -1682.38 0.0 230.609 -1682.38 -0.591727 -38.8989 -1491.2616 0.301223 0.301223
16 1 -6.8984017 0.0 -38.8989 8.452 -11.7579 232.458 -1699.15 230.609 -1682.38 0.0 230.609 -1682.38 -0.591727 -38.8989 -1491.2616 0.301223 0.301223
16 2 -6.898642 0.0 -38.9392 8.45287 -11.756 232.458 -1699.15 230.61 -1682.32 0.0 230.61 -1682.32 -0.590942 -38.9392 -1491.2401 0.305163 0.305163
16 3 -6.898642 0.0 -38.9392 8.45287 -11.756 232.458 -1699.15 230.61 -1682.32 0.0 230.61 -1682.32 -0.590942 -38.9392 -1491.2401 0.305163 0.305163
16 4 -6.898642 0.0 -38.9392 8.45287 -11.756 232.458 -1699.15 230.61 -1682.32 0.0 230.61 -1682.32 -0.590942 -38.9392 -1491.2401 0.305163 0.305163
16 5 -6.898642 0.0 -38.9392 8.45287 -11.756 232.458 -1699.15 230.61 -1682.32 0.0 230.61 -1682.32 -0.590942 -38.9392 -1491.2401 0.305163 0.305163
16 6 -6.7630434 0.0 -36.2985 8.42529 -11.3693 232.458 -1699.15 230.641 -1683.89 0.0 230.641 -1683.89 0.08386992 -36.2985 -1489.4636 3.11695 3.11695
16 7 -6.7630434 0.0 -36.2985 8.42529 -11.3693 232.458 -1699.15 230.641 -1683.89 0.0 230.641 -1683.89 0.08386992 -36.2985 -1489.4636 3.11695 3.11695
17 0 -6.8858075 0.0 -37.0798 8.22616 -10.383 232.458 -1699.15 230.777 -1684.22 0.0 230.777 -1684.22 -0.733507 -37.0798 -1491.2563 -1.00077 -1.00077
17 1 -6.8858075 0.0 -37.0798 8.22616 -10.383 232.458 -1699.15 230.777 -1684.22 0.0 230.777 -1684.22 -0.733507 -37.0798 -1491.2563 -1.00077 -1.00077
17 2 -6.8858075 0.0 -37.0798 8.22616 -10.383 232.458 -1699.15 230.777 -1684.22 0.0 230.777 -1684.22 -0.733507 -37.0798 -1491.2563 -1.00077 -1.00077
17 3 -6.8693395 0.0 -36.9518 8.22229 -10.4004 232.458 -1699.15 230.795 -1684.2 0.0 230.795 -1684.2 -0.851183 -36.9518 -1491.2079 -1.1012 -1.1012
17 4 -6.8693395 0.0 -36.9518 8.22229 -10.4004 232.458 -1699.15 230.795 -1684.2 0.0 230.795 -1684.2 -0.851183 -36.9518 -1491.2079 -1.1012 -1.1012
17 5 -6.8693395 0.0 -36.9518 8.22229 -10.4004 232.458 -1699.15 230.795 -1684.2 0.0 230.795 -1684.2 -0.851183 -36.9518 -1491.2079 -1.1012 -1.1012
17 6 -6.7984066 0.0 -35.9641 8.18946 -10.2432 232.458 -1699.15 230.736 -1684.37 0.0 230.736 -1684.37 -0.403129 -35.9641 -1490.0012 0.190995 0.190995
17 7 -6.7984066 0.0 -35.9641 8.18946 -10.2432 232.458 -1699.15 230.736 -1684.37 0.0 230.736 -1684.37 -0.403129 -35.9641 -1490.0012 0.190995 0.190995
18 0 -6.8256817 0.0 -34.043 8.74431 -12.3839 232.458 -1699.15 232.762 -1692.2 0.0 232.762 -1692.2 2.41071 -34.043 -1491.0703 7.6584 7.6584
